Species,Treatment,Replicate,ID,Rootlength
C.operculatus,CON,1,14,11.4
C.operculatus,CON,1,26,13.2
C.operculatus,CON,1,48,10.3
C.operculatus,CON,2,4,5.7
C.operculatus,CON,2,40,9.5
C.operculatus,CON,2,41,8.3
C.operculatus,CON,3,16,9
C.operculatus,CON,3,25,8.8
C.operculatus,CON,3,44,9
C.operculatus,COB,1,9,7.3
C.operculatus,COB,1,32,12.2
C.operculatus,COB,1,45,13
C.operculatus,COB,2,12,12.2
C.operculatus,COB,2,25,10.2
C.operculatus,COB,2,44,13.9
C.operculatus,COB,3,4,10.1
C.operculatus,COB,3,21,14.3
C.operculatus,COB,3,43,14.2
C.operculatus,COG,1,4,13.5
C.operculatus,COG,1,21,13.7
C.operculatus,COG,1,41,13
C.operculatus,COG,2,5,12.2
C.operculatus,COG,2,22,13
C.operculatus,COG,2,44,13.2
C.operculatus,COG,3,8,13.6
C.operculatus,COG,3,25,14
C.operculatus,COG,3,40,14.1
S.koetjape,CON,1,8,14.2
S.koetjape,CON,1,25,13.3
S.koetjape,CON,1,42,14.9
S.koetjape,CON,2,9,13.3
S.koetjape,CON,2,17,10.5
S.koetjape,CON,2,40,11.6
S.koetjape,CON,3,44,15.2
S.koetjape,CON,3,17,14.9
S.koetjape,CON,3,4,12.5
S.koetjape,COB,1,1,15.2
S.koetjape,COB,1,28,13.4
S.koetjape,COB,1,45,11.6
S.koetjape,COB,2,9,15.7
S.koetjape,COB,2,28,13.5
S.koetjape,COB,2,48,13.3
S.koetjape,COB,3,5,15.6
S.koetjape,COB,3,24,13.5
S.koetjape,COB,3,45,13.3
S.koetjape,COG,1,46,15.8
S.koetjape,COG,1,3,14.1
S.koetjape,COG,1,23,15.3
S.koetjape,COG,2,25,14.7
S.koetjape,COG,2,28,14.3
S.koetjape,COG,2,39,13.2
S.koetjape,COG,3,4,21.5
S.koetjape,COG,3,26,13.4
S.koetjape,COG,3,46,14.5
S.indica,CON,1,27,12.5
S.indica,CON,1,4,13.9
S.indica,CON,1,38,14.4
S.indica,CON,2,2,11.6
S.indica,CON,2,19,15.5
S.indica,CON,2,32,15.3
S.indica,CON,3,43,14.8
S.indica,CON,3,5,12.9
S.indica,CON,3,21,13
S.indica,COB,1,3,13.8
S.indica,COB,1,20,14.3
S.indica,COB,1,37,15.3
S.indica,COB,2,9,16.6
S.indica,COB,2,24,15.7
S.indica,COB,2,41,13
S.indica,COB,3,1,15.4
S.indica,COB,3,19,15.5
S.indica,COB,3,38,15.5
S.indica,COG,1,5,15.3
S.indica,COG,1,20,44.2
S.indica,COG,1,39,15.3
S.indica,COG,2,15,14.8
S.indica,COG,2,29,13.9
S.indica,COG,2,43,15.6
S.indica,COG,3,5,12.8
S.indica,COG,3,31,34.1
S.indica,COG,3,42,20.8
G.hombroniana,CON,1,3,19
G.hombroniana,CON,1,25,16
G.hombroniana,CON,1,46,21
G.hombroniana,CON,2,45,16
G.hombroniana,CON,2,27,16.5
G.hombroniana,CON,2,9,22
G.hombroniana,CON,3,43,18
G.hombroniana,CON,3,38,17.5
G.hombroniana,CON,3,11,20.5
G.hombroniana,COB,1,40,16
G.hombroniana,COB,1,17,20
G.hombroniana,COB,1,3,19
G.hombroniana,COB,2,45,20
G.hombroniana,COB,2,26,17
G.hombroniana,COB,2,10,21
G.hombroniana,COB,3,17,17
G.hombroniana,COB,3,3,15
G.hombroniana,COB,3,36,17
G.hombroniana,COG,1,39,18
G.hombroniana,COG,1,28,17
G.hombroniana,COG,1,101,18
G.hombroniana,COG,2,46,18.5
G.hombroniana,COG,2,34,12.5
G.hombroniana,COG,2,2,26
G.hombroniana,COG,3,46,22.5
G.hombroniana,COG,3,28,17.5
G.hombroniana,COG,3,6,22.5
L.rubiginosa,CON,1,33,20.5
L.rubiginosa,CON,1,29,13.5
L.rubiginosa,CON,1,16,20.5
L.rubiginosa,CON,2,36,13
L.rubiginosa,CON,2,23,15.5
L.rubiginosa,CON,2,10,17
L.rubiginosa,CON,3,38,16
L.rubiginosa,CON,3,27,20
L.rubiginosa,CON,3,16,18.5
L.rubiginosa,COB,1,38,20.5
L.rubiginosa,COB,1,10,21
L.rubiginosa,COB,1,23,18.5
L.rubiginosa,COB,2,39,19.5
L.rubiginosa,COB,2,6,16.5
L.rubiginosa,COB,2,30,14
L.rubiginosa,COB,3,42,20
L.rubiginosa,COB,3,31,18
L.rubiginosa,COB,3,10,18.5
L.rubiginosa,COG,1,43,16
L.rubiginosa,COG,1,19,24.5
L.rubiginosa,COG,1,7,18
L.rubiginosa,COG,2,30,23
L.rubiginosa,COG,2,20,16
L.rubiginosa,COG,2,9,19
L.rubiginosa,COG,3,38,20
L.rubiginosa,COG,3,22,24
L.rubiginosa,COG,3,7,17.5
