community,plot,number,species,family,dbh,height,ba
DDF,2,784,Tristaniopsis_burmanica,Myrtaceae,2.23,3,3.905706527
DEF,9,809,Ixora_cibdela,Rubiaceae,0.96,2,0.723822947
DEF,9,718,Croton_roxburghii,Euphorbiaceae,3.82,2,11.46084416
DEF,9,815,Ziziphus_oenoplia,Rhamnaceae,0.96,3,0.723822947
MDF,13,97,Tectona_grandis,Lamiaceae,19.75,18,306.3543711
DEF,10,931,Garcinia_cowa,Clusiaceae,0.96,1.6,0.723822947
DDF,1,66,Gluta_usitata,Anacardiaceae,12.74,18,127.4760909
DDF,3,1602,Buchanania_lanzan,Anacardiaceae,1.91,2,2.86521104
DEF,10,1106,Glochidion_sphaerogynum,Phyllanthaceae,2.23,4,3.905706527
DEF,7,60,Syzygium_albiflorum,Myrtaceae,8.28,15,53.84564145
DEF,10,1294,Syzygium_albiflorum,Myrtaceae,2.23,4,3.905706527
DEF,7,270,Ixora_cibdela,Rubiaceae,1.59,2,1.985565097
DDF,4,1946,Shorea_obtusa,Dipterocarpaceae ,12.74,6,127.4760909
MDF,15,519,Tectona_grandis,Lamiaceae,31.21,20,765.0281552
DDF,4,2011,Syzygium_cumini,Myrtaceae,2.87,1.7,6.469246132
DEF,12,2279,Rothmannia_sootepensis,Rubiaceae,2.55,4,5.107051557
DDF,4,1969,Dipterocarpus_obtusifolius,Dipterocarpaceae ,14.97,9,176.0084353
DDF,3,1835,Shorea_siamensis,Dipterocarpaceae ,3.5,4,9.621127502
DDF,3,1285,Gluta_usitata,Anacardiaceae,4.78,6,17.9450914
DDF,3,1597,Schoepfia_fragrans,Olacaceae,1.91,4,2.86521104
DDF,4,2177,Quercus_kerrii,Fagaceae,6.05,7,28.74753628
DDF,4,2081,Dipterocarpus_tuberculatus,Dipterocarpaceae ,6.05,4.5,28.74753628
DDF,2,1094,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.5,2.5,9.621127502
DDF,1,275,Shorea_obtusa,Dipterocarpaceae ,3.18,2,7.942260388
DDF,3,1504,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.82,3,11.46084416
DEF,12,2087,Castanopsis_acuminatissima,Fagaceae,3.5,6,9.621127502
DEF,7,130,Litsea_salicifolia,Lauraceae,3.18,3,7.942260388
MDF,15,446,Lagerstroemia_duperreana,Lythraceae,13.85,16,150.6570392
DEF,12,2227,Rothmannia_sootepensis,Rubiaceae,4.78,6,17.9450914
DDF,1,315,Gardenia_obtusifolia,Rubiaceae,3.82,2,11.46084416
DDF,6,3130,Wendlandia_tinctoria,Rubiaceae,6.69,6,35.15135874
DDF,3,1820,Lithocarpus_polystachyus,Fagaceae,1.91,1.5,2.86521104
DDF,4,2091,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.5,1.8,9.621127502
DDF,6,3480,Engelhardia_spicata,Juglandaceae,1.59,3,1.985565097
DDF,3,1243,Craibiodendron_stellatum,Ericaceae,4.78,3,17.9450914
DEF,11,1730,Siphonodon_celastrineus,Celastraceae,2.87,3.5,6.469246132
DDF,3,1381,Gluta_usitata,Anacardiaceae,4.78,2.5,17.9450914
DDF,3,1775,Buchanania_lanzan,Anacardiaceae,1.91,1.5,2.86521104
MDF,18,967,Pterocarpus_macrocarpus,Fabaceae,16.56,16,215.3825658
DEF,12,2054,Glochidion_sphaerogynum,Phyllanthaceae,1.75,4.5,2.405281875
DEF,7,312,Ostodes_paniculata,Euphorbiaceae,1.27,2,1.266768698
DEF,10,950,Phoebe_lanceolata,Lauraceae,1.59,2,1.985565097
DDF,4,2137,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,5,13.46141036
DEF,9,779,Wendlandia_tinctoria,Rubiaceae,7.96,6,49.76408427
DDF,4,2259,Craibiodendron_stellatum,Ericaceae,3.82,2,11.46084416
DDF,6,3438,Dipterocarpus_tuberculatus,Dipterocarpaceae ,23.25,11,424.5567947
DEF,10,1157,Castanopsis_acuminatissima,Fagaceae,4.14,5,13.46141036
DDF,6,3320,Wendlandia_tinctoria,Rubiaceae,5.41,6,22.98711199
DDF,3,1670,Garcinia_cowa,Clusiaceae,3.18,3,7.942260388
DEF,11,1759,Garcinia_merguensis,Clusiaceae,0.96,2,0.723822947
DDF,2,505,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.41,4,22.98711199
DDF,4,2119,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,1.8,7.942260388
DEF,11,1427,Eriobotrya_bengalensis,Rosaceae,1.27,3,1.266768698
DDF,6,3451,Monosis_volkameriifolia,Asteraceae,2.23,3,3.905706527
DDF,2,1047,Craibiodendron_stellatum,Ericaceae,2.55,3,5.107051557
DDF,6,3446,Lithocarpus_polystachyus,Fagaceae,5.41,5,22.98711199
DDF,6,3377,Lithocarpus_lindleyanus,Fagaceae,4.78,3,17.9450914
DEF,11,1655,Adinandra_integerrima,Pentaphylaceae,1.59,3,1.985565097
DDF,2,1195,Tristaniopsis_burmanica,Myrtaceae,2.55,2.5,5.107051557
DEF,12,2318,Syzygium_albiflorum,Myrtaceae,5.41,7,22.98711199
MDF,13,75,Canarium_subulatum,Burseraceae,21.02,17,347.0206387
DDF,1,286,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,2.5,13.46141036
DDF,4,2167,Shorea_obtusa,Dipterocarpaceae ,14.01,8,154.1580301
DDF,1,94,Shorea_obtusa,Dipterocarpaceae ,14.01,6,154.1580301
DDF,3,1633,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.82,3,11.46084416
DEF,10,1344,Syzygium_albiflorum,Myrtaceae,1.27,3.5,1.266768698
DDF,4,2104,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,3,13.46141036
DDF,6,3471,Quercus_brandisiana,Fagaceae,3.18,4.5,7.942260388
DDF,1,353,Shorea_siamensis,Dipterocarpaceae ,4.46,4,15.62282611
DEF,7,372,Rothmannia_sootepensis,Rubiaceae,1.27,2,1.266768698
DDF,2,829,Craibiodendron_stellatum,Ericaceae,1.91,2.5,2.86521104
MDF,14,257,Terminalia_mucronata,Combretaceae,10.83,16,92.11848665
DDF,1,100,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.41,4,22.98711199
DEF,12,1861,Lithocarpus_fenestus,Fagaceae,3.18,4,7.942260388
DDF,2,614,Dipterocarpus_obtusifolius,Dipterocarpaceae ,21.02,12,347.0206387
MDF,18,1049,Vitex_peduncularis,Verbenaceae,13.06,9,133.9603382
DDF,5,2620,Shorea_obtusa,Dipterocarpaceae ,2.23,3,3.905706527
DDF,2,478,Quercus_kerrii,Fagaceae,4.78,4,17.9450914
DDF,4,2186,Shorea_obtusa,Dipterocarpaceae ,3.5,3,9.621127502
DEF,10,1076,Castanopsis_acuminatissima,Fagaceae,1.59,4,1.985565097
MDF,15,477,Lagerstroemia_duperreana,Lythraceae,19.11,14,286.8212046
DDF,6,3215,Styrax_benzoides,Styracaceae,2.87,4.5,6.469246132
DDF,2,972,Garcinia_cowa,Clusiaceae,3.5,3.5,9.621127502
DEF,7,226,Colona_flagrocarpa,Tiliaceae,1.27,2,1.266768698
DDF,3,1337,Lithocarpus_polystachyus,Fagaceae,6.69,8,35.15135874
MDF,14,283,Lagerstroemia_duperreana,Lythraceae,19.43,15,296.5073631
DDF,5,2652,Aporosa_villosa,Phyllanthaceae,6.69,4.5,35.15135874
DDF,4,2116,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.03,2.5,7.210661998
DDF,2,1090,Quercus_kerrii,Fagaceae,1.59,2,1.985565097
MDF,14,263,Lagerstroemia_duperreana,Lythraceae,8.92,15,62.49130443
DDF,2,1133,Dipterocarpus_tuberculatus,Dipterocarpaceae ,1.91,1.8,2.86521104
MDF,14,290,Anogeissus_acuminata,Combretaceae,7.01,10,38.59454429
DDF,2,913,Craibiodendron_stellatum,Ericaceae,4.46,4,15.62282611
DDF,2,895,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,3.5,13.46141036
DDF,2,716,Shorea_obtusa,Dipterocarpaceae ,2.23,1.6,3.905706527
DDF,6,3478,Lithocarpus_lindleyanus,Fagaceae,6.37,7,31.86902274
DDF,4,2041,Shorea_siamensis,Dipterocarpaceae ,1.27,2.5,1.266768698
DDF,1,182,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.78,3,17.9450914
DDF,4,2105,Shorea_siamensis,Dipterocarpaceae ,3.5,5,9.621127502
DEF,11,1562,Ostodes_paniculata,Euphorbiaceae,6.37,7,31.86902274
DDF,1,241,Terminalia_alata,Combretaceae,5.1,5,20.42820623
DEF,7,358,Nephelium_hypoleucum,Sapindaceae,1.27,3,1.266768698
DDF,3,1904,Lithocarpus_polystachyus,Fagaceae,2.55,5.5,5.107051557
DDF,3,1387,Gluta_usitata,Anacardiaceae,21.66,15,368.4739466
DDF,2,909,Buchanania_lanzan,Anacardiaceae,3.18,2.5,7.942260388
DDF,4,2211,Shorea_siamensis,Dipterocarpaceae ,2.23,2,3.905706527
DDF,2,1053,Craibiodendron_stellatum,Ericaceae,1.27,2,1.266768698
DDF,2,882,Buchanania_lanzan,Anacardiaceae,1.91,2,2.86521104
DDF,5,2955,Quercus_kerrii,Fagaceae,3.18,3,7.942260388
DDF,1,263,Dipterocarpus_tuberculatus,Dipterocarpaceae ,2.23,1.7,3.905706527
DEF,10,1359,Elaeocarpus_sphaericus,Elaeocarpaceae,4.78,9,17.9450914
DDF,2,684,Aporosa_villosa,Phyllanthaceae,2.23,2.5,3.905706527
MDF,16,610,Terminalia_mucronata,Combretaceae,1.27,1.8,1.266768698
DDF,2,826,Tristaniopsis_burmanica,Myrtaceae,1.91,2,2.86521104
DDF,3,1490,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.1,6,20.42820623
MDF,14,355,Tectona_grandis,Lamiaceae,2.39,4,4.486272849
MDF,16,576,Canarium_subulatum,Burseraceae,19.11,16,286.8212046
DDF,3,1892,Shorea_obtusa,Dipterocarpaceae ,3.82,2.5,11.46084416
DDF,2,837,Shorea_obtusa,Dipterocarpaceae ,2.87,2.5,6.469246132
DEF,12,1920,Olea_salicifolia,Oleaceae,7.01,4,38.59454429
DEF,11,1561,Ostodes_paniculata,Euphorbiaceae,5.41,6,22.98711199
MDF,14,369,Alangium_salviifolium,Cornaceae,3.82,3,11.46084416
MDF,17,900,Terminalia_mucronata,Combretaceae,15.29,10,183.6136028
MDF,15,545,Lagerstroemia_duperreana,Lythraceae,4.46,6,15.62282611
DDF,6,3291,Wendlandia_tinctoria,Rubiaceae,4.14,5,13.46141036
DDF,4,1919,Dipterocarpus_obtusifolius,Dipterocarpaceae ,4.14,4,13.46141036
DDF,3,1703,Shorea_obtusa,Dipterocarpaceae ,2.87,3.5,6.469246132
DDF,6,3405,Shorea_obtusa,Dipterocarpaceae ,13.69,10,147.1962607
DDF,6,3362,Ilex_umbellulata,Aquifoliaceae,4.14,5,13.46141036
DDF,4,2155,Shorea_obtusa,Dipterocarpaceae ,2.23,2.5,3.905706527
MDF,16,673,Dipterocarpus_tuberculatus,Dipterocarpaceae ,20.06,18,316.0470484
DEF,9,807,Ixora_cibdela,Rubiaceae,0.96,2,0.723822947
DDF,2,862,Shorea_siamensis,Dipterocarpaceae ,1.91,2,2.86521104
DDF,5,2860,Wendlandia_tinctoria,Rubiaceae,4.78,6.5,17.9450914
MDF,14,346,Lagerstroemia_duperreana,Lythraceae,2.55,4,5.107051557
DDF,6,3161,Shorea_obtusa,Dipterocarpaceae ,0.96,2,0.723822947
MDF,14,302,Lagerstroemia_duperreana,Lythraceae,11.78,16,108.9884465
DEF,8,558,Olea_salicifolia,Oleaceae,2.23,2,3.905706527
DEF,9,787,Viburnum_inopinatum,Adoxaceae,2.87,4,6.469246132
MDF,13,36,Pterocarpus_macrocarpus,Fabaceae,11.15,11,97.64266317
DDF,6,3395,Shorea_roxburghii,Dipterocarpaceae ,4.46,6,15.62282611
MDF,16,807,Antidesma_acidum,Phyllanthaceae,3.82,4,11.46084416
DDF,4,2190,Quercus_kerrii,Fagaceae,12.74,6,127.4760909
DDF,6,3249,Rapanea_yunnanensis,Primulaceae,2.23,4.5,3.905706527
DDF,4,2410,Shorea_siamensis,Dipterocarpaceae ,4.46,5,15.62282611
DEF,9,754,Ixora_cibdela,Rubiaceae,1.59,2,1.985565097
DEF,11,1524,Castanopsis_argentea,Fagaceae,1.27,3,1.266768698
DEF,7,338,Colona_elobata,Tiliaceae,1.27,2,1.266768698
MDF,16,781,Canarium_subulatum,Burseraceae,8.12,10,51.78475666
DEF,8,410,Styrax_benzoides,Styracaceae,1.91,3,2.86521104
DDF,5,2961,Quercus_brandisiana,Fagaceae,2.55,3,5.107051557
DDF,3,1542,Gluta_usitata,Anacardiaceae,2.23,3,3.905706527
DDF,2,554,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.78,4,17.9450914
DEF,12,2251,Clausena_excavata,Rutaceae,3.18,3.5,7.942260388
DDF,3,1582,Lithocarpus_polystachyus,Fagaceae,3.5,4.5,9.621127502
MDF,16,824,Antidesma_acidum,Phyllanthaceae,2.23,3,3.905706527
DEF,8,575,Colona_elobata,Tiliaceae,2.55,4,5.107051557
MDF,17,893,Shorea_siamensis,Dipterocarpaceae ,35.99,17,1017.310612
DDF,4,2530,Dipterocarpus_obtusifolius,Dipterocarpaceae ,7.96,7,49.76408427
DEF,7,258,Wendlandia_tinctoria,Rubiaceae,22.93,10,412.9504948
DDF,5,2892,Tristaniopsis_burmanica,Myrtaceae,1.91,4,2.86521104
DEF,8,397,Rothmannia_sootepensis,Rubiaceae,1.59,3,1.985565097
DDF,5,2911,Wendlandia_tinctoria,Rubiaceae,6.37,7,31.86902274
DDF,3,1514,Tristaniopsis_burmanica,Myrtaceae,3.18,4,7.942260388
DDF,2,572,Dipterocarpus_obtusifolius,Dipterocarpaceae ,5.73,7,25.78689936
MDF,17,927,Vitex_peduncularis,Verbenaceae,7.96,8,49.76408427
DDF,5,2900,Tristaniopsis_burmanica,Myrtaceae,0.96,1.7,0.723822947
DDF,2,489,Diospyros_ehretioides,Ebenaceae,6.37,8,31.86902274
DEF,12,1916,Castanopsis_acuminatissima,Fagaceae,9.24,7,67.05541024
DDF,4,2188,Dipterocarpus_obtusifolius,Dipterocarpaceae ,16.24,9,207.1390267
DEF,11,1611,Lindera_metcalfiana,Lauraceae,1.91,4,2.86521104
DEF,8,447,Eurya_nitida,Pentaphylacacaeae,0.96,2,0.723822947
DEF,10,1284,Phoebe_lanceolata,Lauraceae,2.55,4,5.107051557
DDF,5,2869,Tristaniopsis_burmanica,Myrtaceae,3.5,5.5,9.621127502
DDF,4,2309,Garcinia_cowa,Clusiaceae,5.73,4,25.78689936
DEF,11,1620,Artocarpus_gomezianus,Moraceae,1.27,2,1.266768698
DDF,5,2848,Dipterocarpus_tuberculatus,Dipterocarpaceae ,8.92,5,62.49130443
DEF,7,287,Dalbergia_cultrata,Fabaceae,13.69,8,147.1962607
DDF,2,780,Tristaniopsis_burmanica,Myrtaceae,1.27,2.5,1.266768698
DDF,4,2035,Dipterocarpus_tuberculatus,Dipterocarpaceae ,0.64,1.5,0.321699088
DDF,6,3214,Wendlandia_tinctoria,Rubiaceae,2.87,5,6.469246132
DDF,4,2315,Shorea_siamensis,Dipterocarpaceae ,3.18,2,7.942260388
DEF,8,551,Evodia_roxburghiana,Rutaceae,1.27,2,1.266768698
DDF,2,511,Dipterocarpus_obtusifolius,Dipterocarpaceae ,18.79,12,277.2958957
MDF,16,579,Antidesma_acidum,Phyllanthaceae,1.91,3,2.86521104
DDF,1,149,Shorea_siamensis,Dipterocarpaceae ,13.38,12,140.605435
DEF,12,2165,Siphonodon_celastrineus,Celastraceae,1.75,2.5,2.405281875
DEF,9,761,Elaeocarpus_sphaericus,Elaeocarpaceae,1.91,2,2.86521104
DDF,4,2080,Shorea_obtusa,Dipterocarpaceae ,7.96,4.5,49.76408427
